Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,200.8500518798828,200.8500518798828,195.24380493164062,197.3813018798828,193.03396606445312,6198038
2017-06-13,195.0000457763672,200.02505493164062,192.5625457763672,194.2500457763672,189.9716796875,4473021
2017-06-14,195.9750518798828,195.9750518798828,189.2250518798828,192.07504272460938,187.84458923339844,4040258
2017-06-15,195.0000457763672,196.425048828125,191.2875518798828,195.63754272460938,191.32861328125,4158901
2017-06-16,195.07504272460938,197.32504272460938,189.6000518798828,191.4375457763672,187.2211456298828,4015144
2017-06-19,192.0000457763672,193.425048828125,190.01254272460938,190.9125518798828,186.70770263671875,1945835
2017-06-20,191.2500457763672,192.26254272460938,190.1250457763672,190.6875457763672,186.4876251220703,1031729
2017-06-21,190.6875457763672,192.3750457763672,189.0000457763672,191.925048828125,187.69789123535156,2447852
2017-06-22,192.0000457763672,194.13754272460938,189.90003967285156,191.2875518798828,187.07443237304688,1921619
2017-06-23,190.5000457763672,194.925048828125,189.7500457763672,192.63754272460938,188.39468383789062,3025976
2017-06-27,191.6250457763672,193.5375518798828,190.08753967285156,192.4125518798828,188.17465209960938,4770248
2017-06-28,193.5000457763672,194.550048828125,190.6875457763672,193.800048828125,189.53158569335938,2224035
2017-06-29,195.0000457763672,195.675048828125,192.0375518798828,194.4750518798828,190.19171142578125,6472483
2017-06-30,192.6000518798828,195.63754272460938,192.15005493164062,193.76254272460938,189.4949188232422,3621276
2017-07-03,195.0000457763672,195.300048828125,189.0000457763672,194.70004272460938,190.41177368164062,2786356
2017-07-04,193.5000457763672,195.71255493164062,191.2500457763672,195.0000457763672,190.7051544189453,2934169
2017-07-05,195.0000457763672,195.300048828125,192.33755493164062,193.3500518798828,189.09152221679688,2515334
2017-07-06,193.3500518798828,195.0375518798828,191.88754272460938,193.3125457763672,189.05482482910156,2199426
2017-07-07,191.32504272460938,193.6875457763672,191.2500457763672,193.27505493164062,189.01815795898438,1944903
2017-07-10,195.1875457763672,201.71255493164062,195.1875457763672,201.1875457763672,196.75637817382812,884734
2017-07-11,199.65005493164062,205.1250457763672,196.57504272460938,197.40005493164062,193.05230712890625,5413871
